file,resize,newfile,caption
00_Dormancy_Z001_DJI_2018-04-28_14-59-43.jpg,1280x960,00_Dormancy_Z001_DJI_2018-04-28_14-59-43_small.jpg,1.  Early Spring
01_Dormancy_Z002_DJI_2018-05-08_14-10-51.jpg,1280x960,01_Dormancy_Z002_DJI_2018-05-08_14-10-51_small.jpg,2.  Mid Spring
02_Dormancy_Z005_DJI_2018-05-31_18-27-58.jpg,1280x960,02_Dormancy_Z005_DJI_2018-05-31_18-27-58_small.jpg,3.  Late Spring
03_Flowering_AA01_DJI_2018-06-13_13-31-51.jpg,1280x960,03_Flowering_AA01_DJI_2018-06-13_13-31-51_small.jpg,4.  Early Flowering
04_Flowering_AA02_DJI_2018-06-22_10-32-15.jpg,1280x960,04_Flowering_AA02_DJI_2018-06-22_10-32-15_small.jpg,5.  Late Flowering
05_BerryDevelopment_BB02_DJI_2018-07-10_10-20-16.jpg,1280x960,05_BerryDevelopment_BB02_DJI_2018-07-10_10-20-16_small.jpg,6.  Berry Development Set
06_BerryDevelopment_BB03_DJI_2018-07-24_12-10-37.jpg,1280x960,06_BerryDevelopment_BB03_DJI_2018-07-24_12-10-37_small.jpg,7.  Berry Development Sizing
07_BerryDevelopment_BB04_DJI_2018-10-24_09-55-41.jpg,1280x960,07_BerryDevelopment_BB04_DJI_2018-10-24_09-55-41_small.jpg,8.  Berry Development Sizing
08_BerryDevelopment_BB05_DJI_2018-08-09_14-36-32.jpg,1280x960,08_BerryDevelopment_BB05_DJI_2018-08-09_14-36-32_small.jpg,9.  Berry Development Coloring
09_BerryDevelopment_BB06_DJI_2018-08-22_16-24-06.jpg,1280x960,09_BerryDevelopment_BB06_DJI_2018-08-22_16-24-06_small.jpg,10. Berry Development Ripening
10_BerryDevelopment_BB07_DJI_2018-09-12_10-58-49.jpg,1280x960,10_BerryDevelopment_BB07_DJI_2018-09-12_10-58-49_small.jpg,11. Berry Development Ripening
11_BerryDevelopment_BB08_DJI_2018-09-28_11-14-22.jpg,1280x960,11_BerryDevelopment_BB08_DJI_2018-09-28_11-14-22_small.jpg,12. Berry Development Harvest
12_Dormancy_Z006_DJI_2018-10-17_12-01-26.jpg,1280x960,12_Dormancy_Z006_DJI_2018-10-17_12-01-26_small.jpg,13. Early Fall 
13_Dormancy_Z007_DJI_2018-10-29_11-34-44.jpg,1280x960,13_Dormancy_Z007_DJI_2018-10-29_11-34-44_small.jpg,14. Late Fall
