"method","model","year","mtraits","trait","chr","position","chr2","position2","nearest_marker","qtl_lod","marker_variance","qtl_pvalue","model_variance","interval","position_consensus","mtraits_trait","model_idx","class","color","stroke_color","model_cols"
"scanone","2011","2011","num_seeds","num_seeds",1,110.2,NA,NA,"bin_1@110.2cM_scaffold_2363_13188",5.81469281949181,9.35340902234284,2.04246831159161e-05,54.9293345710854,23.7,110.2,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"scanone","2011","2011","num_seeds","num_seeds",6,21.01,NA,NA,"bin_6@21.01cM_scaffold_39646_1106",8.3013329424803,13.9241915196922,1.30387240337981e-07,54.9293345710854,16.04,21.01,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"scanone","2011","2011","num_seeds","num_seeds",7,54.32,NA,NA,"bin_7@54.32cM_ct145217",8.65338566806392,14.6016158750676,6.35014144600987e-08,54.9293345710854,31.17,52.125,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"scanone","2011","2011","num_seeds","num_seeds",10,12.58,NA,NA,"bin_10@12.58cM_scaffold_90650_663",6.62148532114854,10.7962028337238,3.98794571188077e-06,54.9293345710854,13.97,12.58,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"stepwiseqtl","2011","2011","num_seeds","num_seeds",4,32.32,NA,NA,"bin_4@32.32cM_SCF28100",16.5105165875288,9.62006293581429,6.84785561588797e-13,86.4164621116155,4.25,32.6,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"stepwiseqtl","2011","2011","num_seeds","num_seeds",5,5.36,NA,NA,"bin_5@5.36cM_scaffold_43267_850",4.79554993150993,2.28569213467277,0.00060171574190182,86.4164621116155,20.63,5.36,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"stepwiseqtl","2011","2011","num_seeds","num_seeds",5,93.09,NA,NA,"bin_5@93.09cM_scaffold_14912_1011",12.0397000765233,6.48825370287342,1.90024818103041e-09,86.4164621116155,14.32,93.09,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"stepwiseqtl","2011","2011","num_seeds","num_seeds",6,14.63,NA,NA,"bin_6@14.63cM_scaffold_8136_242",15.4425101994165,8.83013565507594,4.56856774633252e-12,86.4164621116155,6.99,14.63,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"stepwiseqtl","2011","2011","num_seeds","num_seeds",6,53.07,NA,NA,"bin_6@53.07cM_scaffold_86629_1261",14.6761748707001,8.27995707422936,1.78084214041974e-11,86.4164621116155,15,53.07,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"stepwiseqtl","2011","2011","num_seeds","num_seeds",7,54.35,NA,NA,"bin_7@54.35cM_SCF208883",21.3680208071698,13.579037081479,1.11022302462516e-16,86.4164621116155,3.1,52.18,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"stepwiseqtl","2011","2011","num_seeds","num_seeds",9,87.34,NA,NA,"bin_9@87.34cM_scaffold_74053_1006",5.64441348384773,2.7286298978387,0.00013965821384887,86.4164621116155,3.89,87.34,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"stepwiseqtl","2011","2011","num_seeds","num_seeds",10,15.56,NA,NA,"bin_10@15.56cM_Pr031818817",24.7265182069409,16.70467981916,0,86.4164621116155,1.77,15.56,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"stepwiseqtl","2011","2011","num_seeds","num_seeds",11,27.29,NA,NA,"bin_11@27.29cM_scaffold_19953_2715",16.3109524982654,9.47037372554874,9.76330127855363e-13,86.4164621116155,6.46,27.835,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"stepwiseqtl","2011","2011","num_seeds","num_seeds",12,42.81,NA,NA,"bin_12@42.81cM_scaffold_23451_2236",7.04972146520188,3.48926200503352,1.21982479104332e-05,86.4164621116155,41.58,42.81,"num_seedsnum_seeds",1,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(237,100%,50%)","hsl(237,100%,50%)","#333333"
"scanone","2012","2012","num_seeds","num_seeds",1,34.06,NA,NA,"bin_1@34.06cM_scaffold_79987_712",5.4119673996914,6.22447399123759,5.92417141076496e-05,67.5570452094129,77.87,34.06,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"scanone","2012","2012","num_seeds","num_seeds",7,49.93,NA,NA,"bin_7@49.93cM_scaffold_4648_8361",9.85665634871437,12.2199069894787,8.62890725539245e-09,67.5570452094129,13.09,52.125,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"scanone","2012","2012","num_seeds","num_seeds",10,28.97,NA,NA,"bin_10@28.97cM_scaffold_54877_1023",12.6841468455795,16.5090358249272,2.95288238305602e-11,67.5570452094129,12.45,28.97,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"scanone","2012","2012","num_seeds","num_seeds",11,27.99,NA,NA,"bin_11@27.99cM_scaffold_4803_6119",10.020096059703,12.4572699581604,6.22008544670649e-09,67.5570452094129,26.14,27.99,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"scanone","2012","2012","num_seeds","num_seeds",12,73.57,NA,NA,"bin_12@73.57cM_scaffold_23173_4257",8.85061048806505,10.7862142086951,6.45290119116737e-08,67.5570452094129,9.81,73.57,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"stepwiseqtl","2012","2012","num_seeds","num_seeds",1,29.04,NA,NA,"bin_1@29.04cM_scaffold_35977_2889",22.6841710106323,8.20122214894435,2.50192511153102e-09,92.4542739987062,8.6,29.04,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"stepwiseqtl","2012","2012","num_seeds","num_seeds",1,113.92,NA,NA,"bin_1@113.92cM_scaffold_48000_2071",17.4304390455315,5.73433814002902,1.31996658470079e-06,92.4542739987062,5.67999999999999,113.92,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"stepwiseqtl","2012","2012","num_seeds","num_seeds",2,1.79,NA,NA,"bin_2@1.79cM_scaffold_20949_637",12.2556519235601,3.68262155194385,0.000422215223207401,92.4542739987062,7.43,1.79,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"stepwiseqtl","2012","2012","num_seeds","num_seeds",3,6.52,NA,NA,"bin_3@6.52cM_vm04084",9.51022974518389,2.72610650125016,9.278345495356e-06,92.4542739987062,1.7,6.52,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"stepwiseqtl","2012","2012","num_seeds","num_seeds",6,21.61,NA,NA,"bin_6@21.61cM_scaffold_68858_1607",7.78566999644657,2.16738507080885,8.97924301033193e-05,92.4542739987062,15.54,20.42,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"stepwiseqtl","2012","2012","num_seeds","num_seeds",7,50.01,NA,NA,"bin_7@50.01cM_409618_K63",22.4476571708187,8.08089994712645,2.82218692859715e-13,92.4542739987062,5.92,52.18,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"stepwiseqtl","2012","2012","num_seeds","num_seeds",9,21.73,NA,NA,"bin_9@21.73cM_scaffold_8878_4178",13.3689397048639,4.09542590915994,5.51718517538546e-08,92.4542739987062,10.83,21.73,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"stepwiseqtl","2012","2012","num_seeds","num_seeds",10,36.02,NA,NA,"bin_10@36.02cM_scaffold_18203_3098",34.5468091859726,15.5896098479971,8.88178419700125e-16,92.4542739987062,1.83,36.02,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"stepwiseqtl","2012","2012","num_seeds","num_seeds",11,28.38,NA,NA,"bin_11@28.38cM_scaffold_115280_182",34.727917525982,15.725894714615,6.66133814775094e-16,92.4542739987062,2.8,27.835,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"stepwiseqtl","2012","2012","num_seeds","num_seeds",12,77.56,NA,NA,"bin_12@77.56cM_scaffold_84992",27.7433427051064,11.0089056392174,4.74353889501344e-12,92.4542739987062,2.63,76.245,"num_seedsnum_seeds",2,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(251,100%,50%)","hsl(251,100%,50%)","#434343"
"scanone","2013","2013","num_seeds","num_seeds",1,90.51,NA,NA,"bin_1@90.51cM_scaffold_9212_6745",5.25175962692772,3.73920673031131,0.000215456696124217,79.8623737836198,29.55,90.51,"num_seedsnum_seeds",3,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(266,100%,50%)","hsl(266,100%,50%)","#535353"
"scanone","2013","2013","num_seeds","num_seeds",3,88.15,NA,NA,"bin_3@88.15cM_scaffold_3520_10124",8.90789057735141,6.74498944579105,3.10714680429314e-07,79.8623737836198,7.23,88.15,"num_seedsnum_seeds",3,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(266,100%,50%)","hsl(266,100%,50%)","#535353"
"scanone","2013","2013","num_seeds","num_seeds",4,79.31,NA,NA,"bin_4@79.31cM_scaffold_179775_160",13.4512896167454,11.0127329726236,8.22657497678847e-11,79.8623737836198,14.51,79.31,"num_seedsnum_seeds",3,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(266,100%,50%)","hsl(266,100%,50%)","#535353"
"scanone","2013","2013","num_seeds","num_seeds",5,20.63,NA,NA,"bin_5@20.63cM_scaffold_47787_264",8.22786580629896,6.15861708647911,1.05760762680873e-06,79.8623737836198,30.25,20.63,"num_seedsnum_seeds",3,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(266,100%,50%)","hsl(266,100%,50%)","#535353"
"scanone","2013","2013","num_seeds","num_seeds",7,23.8,NA,NA,"bin_7@23.8cM_scaffold_15092_4491",7.7181125207013,5.7274692445596,2.64388641890712e-06,79.8623737836198,9.52,23.8,"num_seedsnum_seeds",3,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(266,100%,50%)","hsl(266,100%,50%)","#535353"
"scanone","2013","2013","num_seeds","num_seeds",8,11.67,NA,NA,"bin_8@11.67cM_scaffold_60441_1041",6.81008379540751,4.97689762861896,1.34564895174494e-05,79.8623737836198,11.61,11.67,"num_seedsnum_seeds",3,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(266,100%,50%)","hsl(266,100%,50%)","#535353"
"scanone","2013","2013","num_seeds","num_seeds",9,80.04,NA,NA,"bin_9@80.04cM_ct154206",6.05739393914791,4.37126606448662,5.15496554089889e-05,79.8623737836198,17.9,80.04,"num_seedsnum_seeds",3,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(266,100%,50%)","hsl(266,100%,50%)","#535353"
"scanone","2013","2013","num_seeds","num_seeds",10,15.56,NA,NA,"bin_10@15.56cM_Pr031818817",3.4787107883026,2.40498401709415,0.00481992934226128,79.8623737836198,8.93,17.045,"num_seedsnum_seeds",3,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(266,100%,50%)","hsl(266,100%,50%)","#535353"
"scanone","2013","2013","num_seeds","num_seeds",12,61.56,NA,NA,"bin_12@61.56cM_scaffold_7685_6025",17.0289869404653,14.8450605912384,1.20459198171829e-13,79.8623737836198,5.45,61.56,"num_seedsnum_seeds",3,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(266,100%,50%)","hsl(266,100%,50%)","#535353"
"stepwiseqtl","2013","2013","num_seeds","num_seeds",2,39.72,NA,NA,"bin_2@39.72cM_scaffold_69654_1568",8.27226676760986,3.18010734986461,1.48555477852419e-05,89.66518010732,13.33,39.72,"num_seedsnum_seeds",3,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(266,100%,50%)","hsl(266,100%,50%)","#535353"
"stepwiseqtl","2013","2013","num_seeds","num_seeds",3,88.15,NA,NA,"bin_3@88.15cM_scaffold_3520_10124",23.1897358366325,11.5891355206003,7.29164506552138e-11,89.66518010732,7.23,88.15,"num_seedsnum_seeds",3,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_seeds","hsl(266,100%,50%)","hsl(266,100%,50%)","#535353"
