"method","model","year","mtraits","trait","chr","position","chr2","position2","nearest_marker","qtl_lod","marker_variance","qtl_pvalue","model_variance","interval","position_consensus","mtraits_trait","model_idx","class","color","stroke_color","model_cols"
"scanone","2011","2011","total_berry_weight","total_berry_weight",1,97.960089,NA,NA,"bin_1@97.96cM_scaffold_1825_2736",8.98928116955821,6.68963347418683,1.01277059183502e-07,79.272822757643,17.310017,97.960089,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"scanone","2011","2011","total_berry_weight","total_berry_weight",3,35.340034,NA,NA,"bin_3@35.34cM_scaffold_89673_809",16.625720088307,14.0434122959915,4.06341627012807e-14,79.272822757643,3.130006,35.340034,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"scanone","2011","2011","total_berry_weight","total_berry_weight",4,18.580019,NA,NA,"bin_4@18.58cM_scaffold_27846_3448",8.67159057814576,6.41994619236236,1.86037572791342e-07,79.272822757643,15.750014,18.580019,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"scanone","2011","2011","total_berry_weight","total_berry_weight",5,51.23004,NA,NA,"bin_5@51.23cM_scaffold_6908_663",8.75079502334479,6.48693351464935,1.59875988670066e-07,79.272822757643,11.400016,51.23004,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"scanone","2011","2011","total_berry_weight","total_berry_weight",9,88.510082,NA,NA,"bin_9@88.51cM_scaffold_17431_1305",9.73629039532314,7.33437256800406,2.41885927954044e-08,79.272822757643,9.250012,88.510082,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"scanone","2011","2011","total_berry_weight","total_berry_weight",10,28.270022,NA,NA,"bin_10@28.27cM_scaffold_62514_950",9.74238983984262,7.33969888635484,2.39071451524353e-08,79.272822757643,17.220021,28.270022,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"scanone","2011","2011","total_berry_weight","total_berry_weight",11,39.890048,NA,NA,"bin_11@39.89cM_SCF21596",10.0171501125855,7.58068376745794,1.41085443328137e-08,79.272822757643,22.540025,39.290047,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"stepwiseqtl","2011","2011","total_berry_weight","total_berry_weight",1,97.960089,NA,NA,"bin_1@97.96cM_scaffold_1825_2736",28.2901164845207,6.76567630722904,3.191380493206e-11,95.2069660353056,9.84001099999999,97.960089,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"stepwiseqtl","2011","2011","total_berry_weight","total_berry_weight",3,4.560001,NA,NA,"bin_3@4.56cM_scaffold_5310_4095",29.8343794967922,7.33464792987472,5.33084687504015e-12,95.2069660353056,3.490002,4.560001,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"stepwiseqtl","2011","2011","total_berry_weight","total_berry_weight",3,37.130039,NA,NA,"bin_3@37.13cM_scaffold_158866_55",21.824246216176,4.65916277837701,5.8546500980583e-12,95.2069660353056,9.690017,37.130039,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"stepwiseqtl","2011","2011","total_berry_weight","total_berry_weight",4,12.510013,NA,NA,"bin_4@12.51cM_scaffold_9204_4798",15.1570417436986,2.88827784581794,2.29511692984019e-08,95.2069660353056,5.930005,12.510013,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"stepwiseqtl","2011","2011","total_berry_weight","total_berry_weight",5,63.170054,NA,NA,"bin_5@63.17cM_SCF11431",31.1768379423238,7.85197458641169,1.11433084981627e-12,95.2069660353056,4.43000499999999,63.170054,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"stepwiseqtl","2011","2011","total_berry_weight","total_berry_weight",7,0,NA,NA,"bin_7@0cM_scaffold_21058_4587",24.5982566198705,5.51128704501572,2.17554596559921e-09,95.2069660353056,1.790004,0,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"stepwiseqtl","2011","2011","total_berry_weight","total_berry_weight",9,87.80008,NA,NA,"bin_9@87.8cM_scaffold_70962_1187",22.5500513815892,4.87506151193146,2.17211373332304e-08,95.2069660353056,1.95000399999999,87.80008,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"stepwiseqtl","2011","2011","total_berry_weight","total_berry_weight",10,28.270022,NA,NA,"bin_10@28.27cM_scaffold_62514_950",36.5493364037911,10.1528104831913,1.99840144432528e-15,95.2069660353056,9.740006,28.270022,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"stepwiseqtl","2011","2011","total_berry_weight","total_berry_weight",10,65.460067,NA,NA,"bin_10@65.46cM_scaffold_54304_38",15.1252549365707,2.88068417944264,6.28753877980337e-05,95.2069660353056,8.14000799999999,65.460067,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"stepwiseqtl","2011","2011","total_berry_weight","total_berry_weight",11,47.620055,NA,NA,"bin_11@47.62cM_scaffold_33043_2724",49.9694901322698,17.8990241272365,0,95.2069660353056,3.16000200000001,47.620055,"total_berry_weighttotal_berry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(177,100%,50%)","hsl(177,100%,50%)","#333333"
"scanone","2012","2012","total_berry_weight","total_berry_weight",1,33.470023,NA,NA,"bin_1@33.47cM_scaffold_51660_1253",10.5061476518381,11.3830912021811,3.41493744393517e-09,70.5616741304351,10.060016,35.465027,"total_berry_weighttotal_berry_weight",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_total_berry_weight","hsl(192,100%,50%)","hsl(192,100%,50%)","#434343"
