"method","model","year","mtraits","trait","chr","position","chr2","position2","nearest_marker","qtl_lod","marker_variance","qtl_pvalue","model_variance","interval","position_consensus","mtraits_trait","model_idx","class","color","stroke_color","model_cols"
"scanone","all-years",NA,"num_berries","num_berries",1,56.22,NA,NA,"bin_1@56.22cM_scaffold_29472_3905",4.41069294869131,6.70991462455029,0.000279716492485038,56.3663625484771,65.38,56.22,"num_berriesnum_berries",4,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_berries","hsl(222,100%,50%)","hsl(222,100%,50%)","#636363"
"scanone","all-years",NA,"num_berries","num_berries",5,54.27,NA,NA,"bin_5@54.27cM_SCF101878",8.48062084104709,13.813287002872,6.04928819258888e-08,56.3663625484771,19.5,54.27,"num_berriesnum_berries",4,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_berries","hsl(222,100%,50%)","hsl(222,100%,50%)","#636363"
"scanone","all-years",NA,"num_berries","num_berries",11,43.47,NA,NA,"bin_11@43.47cM_scaffold_5369_8651",16.1447691623768,30.0231094012944,5.77315972805081e-15,56.3663625484771,14.93,43.47,"num_berriesnum_berries",4,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_berries","hsl(222,100%,50%)","hsl(222,100%,50%)","#636363"
"stepwiseqtl","all-years",NA,"num_berries","num_berries",1,56.22,NA,NA,"bin_1@56.22cM_scaffold_29472_3905",33.7962459985263,6.30980115863687,1.3867351711383e-11,96.8328878418506,8.7,56.22,"num_berriesnum_berries",4,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_berries","hsl(222,100%,50%)","hsl(222,100%,50%)","#636363"
"stepwiseqtl","all-years",NA,"num_berries","num_berries",1,109.29,NA,NA,"bin_1@109.29cM_scaffold_8541_630",16.0390695490275,2.16090765906547,0.000242861129804206,96.8328878418506,3.88000000000001,109.29,"num_berriesnum_berries",4,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_berries","hsl(222,100%,50%)","hsl(222,100%,50%)","#636363"
"stepwiseqtl","all-years",NA,"num_berries","num_berries",5,45.18,NA,NA,"bin_5@45.18cM_scaffold_6777_7504",43.5830372189641,9.84983189077718,6.66133814775094e-16,96.8328878418506,2.38,45.18,"num_berriesnum_berries",4,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_berries","hsl(222,100%,50%)","hsl(222,100%,50%)","#636363"
"stepwiseqtl","all-years",NA,"num_berries","num_berries",5,76.39,NA,NA,"bin_5@76.39cM_scaffold_21920_2900",35.064270429012,6.70764461549386,1.37171007885684e-09,96.8328878418506,10.28,76.39,"num_berriesnum_berries",4,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_berries","hsl(222,100%,50%)","hsl(222,100%,50%)","#636363"
"stepwiseqtl","all-years",NA,"num_berries","num_berries",6,31.91,NA,NA,"bin_6@31.91cM_scaffold_89554_711",16.0966747210306,2.17087066485247,0.00023122570588896,96.8328878418506,9.92,31.91,"num_berriesnum_berries",4,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_berries","hsl(222,100%,50%)","hsl(222,100%,50%)","#636363"
"stepwiseqtl","all-years",NA,"num_berries","num_berries",6,88.57,NA,NA,"bin_6@88.57cM_scaffold_23703_3585",26.7452639524842,4.3726440226732,1.87050375188846e-12,96.8328878418506,5.61,88.57,"num_berriesnum_berries",4,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_berries","hsl(222,100%,50%)","hsl(222,100%,50%)","#636363"
"stepwiseqtl","all-years",NA,"num_berries","num_berries",9,24.97,NA,NA,"bin_9@24.97cM_scaffold_8255_6439",33.467652160698,6.20934613113884,1.92110771735088e-11,96.8328878418506,3.94,24.97,"num_berriesnum_berries",4,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_berries","hsl(222,100%,50%)","hsl(222,100%,50%)","#636363"
"stepwiseqtl","all-years",NA,"num_berries","num_berries",10,28.27,NA,NA,"bin_10@28.27cM_scaffold_62514_950",36.3763326010718,7.13689510565084,1.05848663167762e-12,96.8328878418506,8.6,28.27,"num_berriesnum_berries",4,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_berries","hsl(222,100%,50%)","hsl(222,100%,50%)","#636363"
"stepwiseqtl","all-years",NA,"num_berries","num_berries",11,43.05,NA,NA,"bin_11@43.05cM_scaffold_49289_664",60.8929469890258,19.6526221805679,0,96.8328878418506,5.23,43.05,"num_berriesnum_berries",4,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_berries","hsl(222,100%,50%)","hsl(222,100%,50%)","#636363"
"stepwiseqtl","all-years",NA,"num_berries","num_berries",12,12.09,NA,NA,"bin_12@12.09cM_scaffold_25231_1449",22.1118158476454,3.32068808280231,1.07708858632094e-06,96.8328878418506,11.16,12.09,"num_berriesnum_berries",4,"marker_bin_11@92.67cM_scaffold_7013_2102 bin_3@52.94cMtrait_num_berries","hsl(222,100%,50%)","hsl(222,100%,50%)","#636363"
"fakeqtl","2011","","num_berries","num_berries",1,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",1,"","transparent","transparent","transparent"
"fakeqtl","2012","","num_berries","num_berries",1,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",2,"","transparent","transparent","transparent"
"fakeqtl","2013","","num_berries","num_berries",1,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",3,"","transparent","transparent","transparent"
"fakeqtl","all-years","","num_berries","num_berries",1,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",4,"","transparent","transparent","transparent"
"fakeqtl","2011","","num_berries","num_berries",2,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",1,"","transparent","transparent","transparent"
"fakeqtl","2012","","num_berries","num_berries",2,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",2,"","transparent","transparent","transparent"
"fakeqtl","2013","","num_berries","num_berries",2,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",3,"","transparent","transparent","transparent"
"fakeqtl","all-years","","num_berries","num_berries",2,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",4,"","transparent","transparent","transparent"
"fakeqtl","2011","","num_berries","num_berries",3,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",1,"","transparent","transparent","transparent"
"fakeqtl","2012","","num_berries","num_berries",3,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",2,"","transparent","transparent","transparent"
"fakeqtl","2013","","num_berries","num_berries",3,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",3,"","transparent","transparent","transparent"
"fakeqtl","all-years","","num_berries","num_berries",3,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",4,"","transparent","transparent","transparent"
"fakeqtl","2011","","num_berries","num_berries",4,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",1,"","transparent","transparent","transparent"
"fakeqtl","2012","","num_berries","num_berries",4,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",2,"","transparent","transparent","transparent"
"fakeqtl","2013","","num_berries","num_berries",4,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",3,"","transparent","transparent","transparent"
"fakeqtl","all-years","","num_berries","num_berries",4,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",4,"","transparent","transparent","transparent"
"fakeqtl","2011","","num_berries","num_berries",5,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",1,"","transparent","transparent","transparent"
"fakeqtl","2012","","num_berries","num_berries",5,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",2,"","transparent","transparent","transparent"
"fakeqtl","2013","","num_berries","num_berries",5,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",3,"","transparent","transparent","transparent"
"fakeqtl","all-years","","num_berries","num_berries",5,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",4,"","transparent","transparent","transparent"
"fakeqtl","2011","","num_berries","num_berries",6,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",1,"","transparent","transparent","transparent"
"fakeqtl","2012","","num_berries","num_berries",6,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",2,"","transparent","transparent","transparent"
"fakeqtl","2013","","num_berries","num_berries",6,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",3,"","transparent","transparent","transparent"
"fakeqtl","all-years","","num_berries","num_berries",6,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",4,"","transparent","transparent","transparent"
"fakeqtl","2011","","num_berries","num_berries",7,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",1,"","transparent","transparent","transparent"
"fakeqtl","2012","","num_berries","num_berries",7,-1,NA,NA,"marker--fake--trait--num_berries",0,0,0,0,0,-1,"num_berriesnum_berries",2,"","transparent","transparent","transparent"
