"method","model","year","mtraits","trait","chr","position","chr2","position2","nearest_marker","qtl_lod","marker_variance","qtl_pvalue","model_variance","interval","position_consensus","mtraits_trait","model_idx","class","color","stroke_color","model_cols"
"scanone","2011","2011","berry_weight","berry_weight",1,102.540091,NA,NA,"bin_1@102.54cM_scaffold_13178_3759",4.0842215606363,4.33993216440658,0.00063706577009992,67.9740978075758,15.210015,101.080090333333,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"scanone","2011","2011","berry_weight","berry_weight",3,43.050048,NA,NA,"bin_3@43.05cM_scaffold_40993_3056",15.0267465836302,19.0911164465335,1.13242748511766e-13,67.9740978075758,13.150008,45.0250495,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"scanone","2011","2011","berry_weight","berry_weight",10,39.030042,NA,NA,"bin_10@39.03cM_scaffold_21095_4899",9.52822268322625,11.0526539774399,9.81158021495787e-09,67.9740978075758,31.290036,39.030042,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"scanone","2011","2011","berry_weight","berry_weight",11,30.320034,NA,NA,"bin_11@30.32cM_scaffold_28856_2095",15.7264074340337,20.2161696829597,2.64233079860787e-14,67.9740978075758,13.680018,28.77253175,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_weight","berry_weight",1,32.270021,NA,NA,"bin_1@32.27cM_scaffold_8765_4335",15.9016739779932,4.95992075970769,1.31664679159371e-11,92.2521188482246,3.580007,32.270021,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_weight","berry_weight",1,100.35009,NA,NA,"bin_1@100.35cM_scaffold_81716_1234",12.9671977343109,3.8509800663571,1.68816893797441e-09,92.2521188482246,9.590007,100.35009,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_weight","berry_weight",3,5.330004,NA,NA,"bin_3@5.33cM_SCF90229",12.3071923436674,3.6152065939114,2.0945002080941e-05,92.2521188482246,4.260008,5.330004,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_weight","berry_weight",3,42.860047,NA,NA,"bin_3@42.86cM_scaffold_43967_1194",39.4407935130679,18.6863477512355,0,92.2521188482246,4.430004,44.930049,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_weight","berry_weight",6,7.850012,NA,NA,"bin_6@7.85cM_scaffold_430_12130",10.6375774922456,3.03994644985451,7.83062243936428e-08,92.2521188482246,14.630016,5.7700095,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_weight","berry_weight",6,59.630084,NA,NA,"bin_6@59.63cM_scaffold_510_1791",13.8703441070299,4.18155817771672,3.79792863824946e-10,92.2521188482246,6.740004,60.305085,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_weight","berry_weight",8,2.380003,NA,NA,"bin_8@2.38cM_scaffold_1656_11289",8.36678336477685,2.30400567630714,3.2284773249236e-06,92.2521188482246,10.480008,2.380003,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_weight","berry_weight",9,84.220074,NA,NA,"bin_9@84.22cM_scaffold_30128_1137",21.2660157962188,7.26837064685004,1.77635683940025e-15,92.2521188482246,4.160003,84.5150745,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_weight","berry_weight",10,39.030042,NA,NA,"bin_10@39.03cM_scaffold_21095_4899",14.7393554191795,4.50853303622551,9.02347085940391e-11,92.2521188482246,8.960014,38.14004,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_weight","berry_weight",11,30.320034,NA,NA,"bin_11@30.32cM_scaffold_28856_2095",41.8991521875936,20.7877649037103,0,92.2521188482246,2.850002,28.456698,"berry_weightberry_weight",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(59,100%,50%)","hsl(59,100%,50%)","#333333"
"scanone","2012","2012","berry_weight","berry_weight",1,33.470023,NA,NA,"bin_1@33.47cM_scaffold_51660_1253",4.05341581246611,4.08527481568065,0.000810404633763584,69.6093224539334,8.750013,33.470023,"berry_weightberry_weight",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_weight","hsl(74,100%,50%)","hsl(74,100%,50%)","#434343"
