"method","model","year","mtraits","trait","chr","position","chr2","position2","nearest_marker","qtl_lod","marker_variance","qtl_pvalue","model_variance","interval","position_consensus","mtraits_trait","model_idx","class","color","stroke_color","model_cols"
"scanone","2011","2011","berry_width","berry_width",1,97.960089,NA,NA,"bin_1@97.96cM_scaffold_1825_2736",9.85387701306989,10.5648606585281,7.86526010987387e-09,70.5562888849422,11.440013,97.960089,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"scanone","2011","2011","berry_width","berry_width",6,73.280095,NA,NA,"bin_6@73.28cM_SCF16407",9.56018599063059,10.2009080798705,1.42013385495687e-08,70.5562888849422,21.470019,73.280095,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"scanone","2011","2011","berry_width","berry_width",9,87.090078,NA,NA,"bin_9@87.09cM_scaffold_57514_1484",11.277654919042,12.3771807413753,4.46029435607898e-10,70.5562888849422,1.500005,87.090078,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"scanone","2011","2011","berry_width","berry_width",10,21.51002,NA,NA,"bin_10@21.51cM_scaffold_2700_844",10.3345147974331,11.1677068563754,2.98798341624718e-09,70.5562888849422,9.620006,21.51002,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"scanone","2011","2011","berry_width","berry_width",11,38.070045,NA,NA,"bin_11@38.07cM_scaffold_7181_4242",10.4188800211307,11.2744563306252,2.52088327989952e-09,70.5562888849422,14.670018,38.070045,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_width","berry_width",1,68.750058,NA,NA,"bin_1@68.75cM_scaffold_81148_991",17.454549232219,5.02967069555162,1.04347900542479e-07,93.0275387256423,3.56000400000001,68.750058,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_width","berry_width",1,96.390088,NA,NA,"bin_1@96.39cM_scaffold_1825_2668",16.0041724653042,4.50005577353974,1.00190966634273e-10,93.0275387256423,5.01000499999999,99.0300893333333,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_width","berry_width",3,34.750032,NA,NA,"bin_3@34.75cM_scaffold_113156_448",20.1679903701794,6.08703786916531,1.78412840057263e-13,93.0275387256423,6.230008,35.640035,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_width","berry_width",4,33.86004,NA,NA,"bin_4@33.86cM_scaffold_6270_6464",13.024773322494,3.48428477958802,3.25656210280467e-05,93.0275387256423,7.520011,31.5950365,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_width","berry_width",5,38.150022,NA,NA,"bin_5@38.15cM_scaffold_29013_2953",18.1943881928699,5.30917472064134,3.59645646597073e-12,93.0275387256423,7.630004,38.150022,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_width","berry_width",6,59.630084,NA,NA,"bin_6@59.63cM_scaffold_510_1791",17.0080964870155,4.86409187526502,2.18229878612419e-11,93.0275387256423,6.740004,59.630084,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_width","berry_width",8,52.330052,NA,NA,"bin_8@52.33cM_scaffold_31968_1730",4.67828055827395,1.09257116171118,0.00231629264148137,93.0275387256423,33.720043,52.330052,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_width","berry_width",9,87.090078,NA,NA,"bin_9@87.09cM_scaffold_57514_1484",28.9773385807413,10.2055058535965,0,93.0275387256423,0.330002000000007,85.655076,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_width","berry_width",10,20.920017,NA,NA,"bin_10@20.92cM_scaffold_19377_686",22.6069295970575,7.11670061805164,9.09663455672671e-11,93.0275387256423,16.75002,20.920017,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_width","berry_width",11,38.070045,NA,NA,"bin_11@38.07cM_scaffold_7181_4242",34.2026481427803,13.2383645195723,0,93.0275387256423,1.700003,38.070045,"berry_widthberry_width",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(118,100%,50%)","hsl(118,100%,50%)","#333333"
"scanone","2012","2012","berry_width","berry_width",1,85.230074,NA,NA,"bin_1@85.23cM_scaffold_16235_5089",5.56075616673164,5.93244226121104,3.26323662753758e-05,68.5948121833141,28.87003,84.040073,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"scanone","2012","2012","berry_width","berry_width",9,30.920028,NA,NA,"bin_9@30.92cM_SCF88396",8.00423945891155,8.88198514865835,2.24296375694877e-07,68.5948121833141,11.53001,30.920028,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"scanone","2012","2012","berry_width","berry_width",10,28.150021,NA,NA,"bin_10@28.15cM_scaffold_173749_80",6.0341079018299,6.48645141318688,1.24958921435825e-05,68.5948121833141,31.880039,28.150021,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"scanone","2012","2012","berry_width","berry_width",11,30.320034,NA,NA,"bin_11@30.32cM_scaffold_28856_2095",22.6644156214572,32.1684819721179,0,68.5948121833141,7.400004,30.320034,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"stepwiseqtl","2012","2012","berry_width","berry_width",1,32.270021,NA,NA,"bin_1@32.27cM_scaffold_8765_4335",33.8274223969084,8.86427709645416,0,95.2470818591049,3.580007,32.870022,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"stepwiseqtl","2012","2012","berry_width","berry_width",1,100.35009,NA,NA,"bin_1@100.35cM_scaffold_81716_1234",31.2835661402413,7.82796789564166,4.44089209850063e-16,95.2470818591049,4.58000200000001,99.0300893333333,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"stepwiseqtl","2012","2012","berry_width","berry_width",3,52.940053,NA,NA,"bin_3@52.94cM_scaffold_14059_5352",11.9913722078318,2.14957374713157,4.34170184249183e-08,95.2470818591049,7.940004,52.940053,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"stepwiseqtl","2012","2012","berry_width","berry_width",4,29.330033,NA,NA,"bin_4@29.33cM_scaffold_90402_452",27.9781019019835,6.59830843999438,4.56301663120939e-14,95.2470818591049,1.760003,31.5950365,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"stepwiseqtl","2012","2012","berry_width","berry_width",6,35.950044,NA,NA,"bin_6@35.95cM_scaffold_27703_3875",13.4749108810796,2.47567405994442,4.6212258464351e-09,95.2470818591049,14.750018,35.950044,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"stepwiseqtl","2012","2012","berry_width","berry_width",9,43.770037,NA,NA,"bin_9@43.77cM_scaffold_83546_53",24.3171325557443,5.37616728678043,3.33066907387547e-16,95.2470818591049,6.730004,43.770037,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"stepwiseqtl","2012","2012","berry_width","berry_width",9,66.320059,NA,NA,"bin_9@66.32cM_scaffold_50159_2159",8.54172350646007,1.44704390036641,7.70636673386171e-06,95.2470818591049,24.280025,66.320059,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"stepwiseqtl","2012","2012","berry_width","berry_width",10,37.250038,NA,NA,"bin_10@37.25cM_SCF7569",32.7069540836944,8.39770100983912,0,95.2470818591049,2.380004,37.9900395,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"stepwiseqtl","2012","2012","berry_width","berry_width",11,28.380033,NA,NA,"bin_11@28.38cM_scaffold_115280_182",38.7936172032512,11.1398081845736,0,95.2470818591049,2.800003,28.380033,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"stepwiseqtl","2012","2012","berry_width","berry_width",11,60.600075,NA,NA,"bin_11@60.6cM_scaffold_180807_123",22.366387086341,4.77962564245486,6.21724893790088e-15,95.2470818591049,4.24000399999999,60.600075,"berry_widthberry_width",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(133,100%,50%)","hsl(133,100%,50%)","#434343"
"scanone","all-years",NA,"berry_width","berry_width",1,82.850072,NA,NA,"bin_1@82.85cM_scaffold_35108_2089",5.11686385313541,10.6720298634359,6.36815869012874e-05,38.166024068175,34.580033,84.040073,"berry_widthberry_width",4,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(163,100%,50%)","hsl(163,100%,50%)","#636363"
"scanone","all-years",NA,"berry_width","berry_width",10,28.150021,NA,NA,"bin_10@28.15cM_scaffold_173749_80",3.83844737132834,7.84441018033515,0.000878088020393797,38.166024068175,41.590047,28.150021,"berry_widthberry_width",4,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(163,100%,50%)","hsl(163,100%,50%)","#636363"
"scanone","all-years",NA,"berry_width","berry_width",11,30.320034,NA,NA,"bin_11@30.32cM_scaffold_28856_2095",6.38458317267938,13.5892881826272,4.59589823909035e-06,38.166024068175,29.270035,30.320034,"berry_widthberry_width",4,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(163,100%,50%)","hsl(163,100%,50%)","#636363"
"stepwiseqtl","all-years",NA,"berry_width","berry_width",1,33.470023,NA,NA,"bin_1@33.47cM_scaffold_51660_1253",11.2186777776985,3.89095511336497,6.39796210233357e-07,90.686222572296,3.580007,32.870022,"berry_widthberry_width",4,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_width","hsl(163,100%,50%)","hsl(163,100%,50%)","#636363"
