"method","model","year","mtraits","trait","chr","position","chr2","position2","nearest_marker","qtl_lod","marker_variance","qtl_pvalue","model_variance","interval","position_consensus","mtraits_trait","model_idx","class","color","stroke_color","model_cols"
"scanone","2011","2011","berry_length","berry_length",2,37.130033,NA,NA,"bin_2@37.13cM_SCF73288",6.40641459472618,8.33477812773824,5.86213925668488e-06,62.2175934754589,71.140075,37.130033,"berry_lengthberry_length",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_length","hsl(0,100%,50%)","hsl(0,100%,50%)","#333333"
"scanone","2011","2011","berry_length","berry_length",3,52.940053,NA,NA,"bin_3@52.94cM_scaffold_14059_5352",9.21868004613412,12.5521647596801,1.85460300450302e-08,62.2175934754589,18.920009,52.940053,"berry_lengthberry_length",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_length","hsl(0,100%,50%)","hsl(0,100%,50%)","#333333"
"scanone","2011","2011","berry_length","berry_length",10,51.790055,NA,NA,"bin_10@51.79cM_scaffold_6929_8428",10.2495930310655,14.1929683629715,2.22106999459015e-09,62.2175934754589,6.630007,51.60505475,"berry_lengthberry_length",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_length","hsl(0,100%,50%)","hsl(0,100%,50%)","#333333"
"scanone","2011","2011","berry_length","berry_length",11,21.880021,NA,NA,"bin_11@21.88cM_scaffold_1122_2182",17.5304803713886,27.4086470616854,6.66133814775094e-16,62.2175934754589,4.220004,21.880021,"berry_lengthberry_length",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_length","hsl(0,100%,50%)","hsl(0,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_length","berry_length",2,37.940034,NA,NA,"bin_2@37.94cM_scaffold_2126_10221",17.1818157528891,8.94402713961136,3.25295346215171e-13,87.3460314454172,3.700005,37.255033,"berry_lengthberry_length",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_length","hsl(0,100%,50%)","hsl(0,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_length","berry_length",3,58.580056,NA,NA,"bin_3@58.58cM_scaffold_42994_1177",20.3347692775275,11.1703742978756,1.33226762955019e-15,87.3460314454172,13.960006,58.580056,"berry_lengthberry_length",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_length","hsl(0,100%,50%)","hsl(0,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_length","berry_length",4,49.280057,NA,NA,"bin_4@49.28cM_scaffold_1015_8686",16.5807213376551,8.54381985103602,9.32587340685131e-13,87.3460314454172,9.97000600000001,49.280057,"berry_lengthberry_length",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_length","hsl(0,100%,50%)","hsl(0,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_length","berry_length",5,47.120032,NA,NA,"bin_5@47.12cM_scaffold_19438_3420",15.4483083160286,7.80989700972171,6.77069511567652e-12,87.3460314454172,3.470006,47.120032,"berry_lengthberry_length",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_length","hsl(0,100%,50%)","hsl(0,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_length","berry_length",6,28.210033,NA,NA,"bin_6@28.21cM_scaffold_57397_529",18.6657574527787,9.96468332484061,5.03859842737597e-10,87.3460314454172,8.930009,28.210033,"berry_lengthberry_length",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_length","hsl(0,100%,50%)","hsl(0,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_length","berry_length",10,51.790055,NA,NA,"bin_10@51.79cM_scaffold_6929_8428",24.7802991948707,14.7047441523149,0,87.3460314454172,3.770004,52.2950555,"berry_lengthberry_length",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_length","hsl(0,100%,50%)","hsl(0,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_length","berry_length",11,17.250019,NA,NA,"bin_11@17.25cM_scaffold_26864_4373",28.7371556973283,18.2893360661734,0,87.3460314454172,9.110006,17.250019,"berry_lengthberry_length",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_length","hsl(0,100%,50%)","hsl(0,100%,50%)","#333333"
"stepwiseqtl","2011","2011","berry_length","berry_length",11,77.450092,NA,NA,"bin_11@77.45cM_scaffold_31501_3799",20.6528402365397,11.40733690434,2.11199946420493e-11,87.3460314454172,3.690004,77.4675925,"berry_lengthberry_length",1,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_length","hsl(0,100%,50%)","hsl(0,100%,50%)","#333333"
"scanone","2012","2012","berry_length","berry_length",2,48.260045,NA,NA,"bin_2@48.26cM_scaffold_74218_403",13.7804178536368,11.4988367187619,5.31774624334957e-12,78.5229512161418,30.060042,48.260045,"berry_lengthberry_length",2,"marker_bin_11@81.23cM_scaffold_2449_1103 bin_2@37.130033cMtrait_berry_length","hsl(15,100%,50%)","hsl(15,100%,50%)","#434343"
